llm,language,question,n_variants,n_obs,k_harmonic,msb,msw,icc1
minimax-m3,zh,F063,10,48,4.761904761904762,6.950000000000001,1.4394736842105265,0.4456493098485924
minimax-m3,zh,F118,10,37,3.4883720930232562,0.49349349349349336,0.654320987654321,0.0
minimax-m3,zh,F120,10,47,4.580152671755726,0.5947990543735224,0.3567567567567567,0.1271564459049387
minimax-m3,zh,G006,10,49,4.878048780487806,0.20680272108843537,0.23589743589743592,0.0
minimax-m3,zh,Y002,10,50,5.000000000000001,0.40222222222222226,0.2,0.16820702402957485
minimax-m3,zh,Y003,10,50,5.000000000000001,0.01999999999999999,0.02,0.0
mistral-large-3:675b,zh,A008,10,50,5.000000000000001,0.0,0.0,0.0
mistral-large-3:675b,zh,A165,10,50,5.000000000000001,0.9888888888888887,0.040000000000000015,0.8259187620889747
mistral-large-3:675b,zh,E018,10,50,5.000000000000001,0.0,0.0,0.0
mistral-large-3:675b,zh,E025,10,50,5.000000000000001,0.7911111111111111,0.10999999999999999,0.5532490974729242
mistral-large-3:675b,zh,F063,10,50,5.000000000000001,4.357777777777777,0.38,0.6767485822306237
mistral-large-3:675b,zh,F118,10,50,5.000000000000001,4.346666666666667,0.2,0.805699481865285
mistral-large-3:675b,zh,F120,10,50,5.000000000000001,0.0,0.0,0.0
mistral-large-3:675b,zh,G006,10,50,5.000000000000001,0.48000000000000004,0.12000000000000002,0.3749999999999999
mistral-large-3:675b,zh,Y002,10,50,5.000000000000001,0.07999999999999997,0.03,0.24999999999999986
mistral-large-3:675b,zh,Y003,10,50,5.000000000000001,0.508888888888889,0.19,0.2513134851138354
nemotron-3-nano:30b,zh,A008,10,50,5.000000000000001,0.046666666666666745,0.10999999999999999,0.0
nemotron-3-nano:30b,zh,A165,10,50,5.000000000000001,0.09777777777777777,0.11000000000000001,0.0
nemotron-3-nano:30b,zh,E018,10,50,5.000000000000001,0.09111111111111106,0.05,0.14122137404580135
nemotron-3-nano:30b,zh,E025,10,50,5.000000000000001,0.3111111111111111,0.18,0.12715517241379312
nemotron-3-nano:30b,zh,F063,10,50,5.000000000000001,2.5422222222222217,3.3,0.0
nemotron-3-nano:30b,zh,F118,10,50,5.000000000000001,3.0422222222222226,3.09,0.0
nemotron-3-nano:30b,zh,F120,10,50,5.000000000000001,0.2244444444444445,0.43999999999999995,0.0
nemotron-3-nano:30b,zh,G006,10,50,5.000000000000001,0.6133333333333334,0.38,0.109375
nemotron-3-nano:30b,zh,Y002,10,50,5.000000000000001,0.37555555555555564,0.4,0.0
nemotron-3-nano:30b,zh,Y003,10,48,4.761904761904762,0.13518518518518519,0.22894736842105262,0.0
nemotron-3-super,zh,A008,10,50,5.000000000000001,0.0,0.0,0.0
nemotron-3-super,zh,A165,10,50,5.000000000000001,0.268888888888889,0.25000000000000006,0.014886164623467648
nemotron-3-super,zh,E018,10,50,5.000000000000001,0.3577777777777779,0.16,0.19821826280623614
nemotron-3-super,zh,E025,10,50,5.000000000000001,0.7200000000000001,0.21999999999999997,0.31250000000000006
nemotron-3-super,zh,F063,10,50,5.000000000000001,1.6911111111111108,0.9400000000000001,0.13779046066041573
nemotron-3-super,zh,F118,10,50,5.000000000000001,1.5644444444444439,1.1099999999999999,0.07568467801628416
nemotron-3-super,zh,F120,10,49,4.878048780487806,1.7623582766439918,0.6461538461538462,0.26151799875444465
nemotron-3-super,zh,G006,10,50,5.000000000000001,0.3199999999999999,0.06,0.46428571428571414
nemotron-3-super,zh,Y002,10,50,5.000000000000001,0.8111111111111111,0.53,0.09590598938589838
nemotron-3-super,zh,Y003,10,50,5.000000000000001,0.43555555555555564,0.26000000000000006,0.1189759036144578
nemotron-3-ultra,zh,A008,10,50,5.000000000000001,0.0,0.0,0.0
nemotron-3-ultra,zh,A165,10,50,5.000000000000001,0.8355555555555557,0.12,0.543918918918919
nemotron-3-ultra,zh,E018,10,50,5.000000000000001,0.9533333333333331,0.4,0.2167101827676239
nemotron-3-ultra,zh,E025,10,50,5.000000000000001,0.22444444444444456,0.19,0.03498871331828452
nemotron-3-ultra,zh,F063,10,43,3.389830508474576,2.715762273901809,1.1818181818181819,0.2768798464932769
nemotron-3-ultra,zh,F118,9,18,1.5,3.6493055555555554,0.6388888888888888,0.7585301837270341
nemotron-3-ultra,zh,F120,3,4,1.2,0.375,0.0,1.0
nemotron-3-ultra,zh,G006,10,47,4.580152671755726,0.5399527186761229,0.1837837837837838,0.29732113658542303
nemotron-3-ultra,zh,Y002,10,50,5.000000000000001,1.5022222222222226,0.48,0.29870129870129875
nemotron-3-ultra,zh,Y003,10,50,5.000000000000001,0.09777777777777771,0.07,0.07352941176470569
qwen3.5:397b,zh,A008,10,50,5.000000000000001,0.019999999999999993,0.020000000000000007,0.0
qwen3.5:397b,zh,A165,10,50,5.000000000000001,0.1688888888888888,0.13,0.05645161290322569
qwen3.5:397b,zh,E018,10,50,5.000000000000001,0.020000000000000035,0.019999999999999997,3.816391647148974e-16
qwen3.5:397b,zh,E025,10,50,5.000000000000001,0.4977777777777778,0.16,0.296875
qwen3.5:397b,zh,F063,10,50,5.000000000000001,3.057777777777778,1.0,0.2915617128463476
qwen3.5:397b,zh,F118,10,50,5.000000000000001,0.0,0.0,0.0
qwen3.5:397b,zh,F120,10,49,4.878048780487806,0.0,0.0,0.0
qwen3.5:397b,zh,G006,10,50,5.000000000000001,0.41111111111111126,0.22000000000000003,0.14802065404475048
qwen3.5:397b,zh,Y002,10,50,5.000000000000001,1.2800000000000002,0.03,0.8928571428571428
qwen3.5:397b,zh,Y003,10,50,5.000000000000001,0.07999999999999996,0.03,0.24999999999999983
